综合娱乐,#genre#

民視第一台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=1
民視台灣台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=2
民視,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=3
TVBS,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=183
中視,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=4
華視,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=6
原住民族電視台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=273
中視菁采台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=123
三立綜合台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=169
中視經典台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=124
民視綜藝台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=16
TVBS綜藝台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=284
靖天綜合台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=21
TVBS歡樂台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=184
韓國娛樂台 KMTV,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=446
八大綜藝台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=114
TVBS精采台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=227
豬哥亮歌廳秀,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=113
愛爾達娛樂台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=19
Nice TV 靖天歡樂台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=119
fun探索娛樂台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=274
靖天育樂台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=83
天才衝衝衝-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=343
一字千金-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=344
威廉沈歡樂送-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=435
綜藝大集合-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=345
姊妹亮起來-FastTV飛速看,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=377

宗教频道,#genre#

大愛電視,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=209
新唐人亞太台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=223
好消息,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=9
好消息2台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=8
大愛二台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=230
人間衛視,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=210

新闻时事,#genre#

國會頻道2,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=171
國會頻道1,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=170
民視新聞台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=31
TVBS新聞,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=291
東森新聞台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=292
中視新聞,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=33
華視新聞,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=34
寰宇新聞台灣台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=280
寰宇新聞台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=36
鏡電視新聞台,https://tw4g.f.0.c.b.0.d.0.0.1.0.a.2.ip6.arpa/?id=268
